# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Neomonitor
# Propiedad: Neocalcu
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260418
# Fecha de finalización: 20260515
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/neocalcu/,995,391,2.544757033248082,16.508951406649615,2943,0,0
/neocalcu,2,1,2,176,8,0,0
